,revision,value,repository_name,signature_id,framework_id,signature_hash,machine_platform,should_alert,has_subtests,extra_options,tags,option_collection_hash,test,suite,lower_is_better,name,parent_signature,repository_id,measurement_unit,application,job_id,entry_id,push_timestamp,push_id,single_alert_new_value,single_alert_classifier,alert_summary_prev_push_revision,alert_summary_id,single_alert_amount_pct,single_alert_prev_value,alert_summary_first_triaged,alert_summary_framework,single_alert_series_signature_framework_id,single_alert_series_signature_suite_public_name,alert_summary_related_alerts,single_alert_taskcluster_metadata_retry_id,alert_summary_prev_push_id,alert_summary_status,single_alert_status,alert_summary_assignee_username,single_alert_prev_taskcluster_metadata_task_id,alert_summary_bug_number,alert_summary_bug_due_date,single_alert_series_signature_test_public_name,alert_summary_issue_tracker,single_alert_amount_abs,single_alert_id,single_alert_taskcluster_metadata_task_id,single_alert_backfill_record_total_backfills_successful,single_alert_summary_id,single_alert_prev_taskcluster_metadata_retry_id,single_alert_is_regression,single_alert_manually_created,single_alert_classifier_email,single_alert_backfill_record_total_backfills_failed,single_alert_backfill_record_total_actions_triggered,alert_summary_assignee_email,alert_summary_creation_timestamp,single_alert_prev_profile_url,alert_summary_notes,single_alert_noise_profile,single_alert_related_summary_id,alert_summary_bug_updated,single_alert_profile_url,single_alert_backfill_record_context,single_alert_starred,single_alert_backfill_record_total_backfills_in_progress,single_alert_t_value,single_alert_series_signature_suite,single_alert_backfill_record_status,single_alert_series_signature_tags,alert_summary_triage_due_date,alert_summary_status_general
10,7123a4cb9219dc73123928c80505ef5544239e3c,0.8451443569553807,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1708222706,2023-06-08 17:59:52,1254099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
11,dce60276b7bd366745f6ec33916ab169be826373,0.879265091863517,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1708252188,2023-06-08 19:30:46,1254159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
12,8ef0eed85dd1724df18acbc52ede7bda8d19d4ca,0.9658792650918633,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1708308026,2023-06-08 21:41:16,1254264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
13,7b1a019c17f8faeb278c5ff106b55a8737c63e4d,0.9002624671916011,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1708694198,2023-06-09 13:50:39,1254632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
14,c2d0daebef20fa875f5260a684fe17c55e129a35,0.9396325459317585,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1708846868,2023-06-09 18:01:58,1254819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
15,5fdbfc5f981230abe820c6b234bcf7262e366be0,0.9133858267716537,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1709187996,2023-06-10 18:00:11,1255248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
16,b00e6f811a19a3b7ed808efda6906dde57f88e71,0.8713910761154855,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1709469432,2023-06-11 14:48:42,1255364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
17,fb3ad1dbd6bbf62e33596cc17abc8bff6a4f425f,0.8740157480314958,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1709501280,2023-06-11 18:03:00,1255381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
18,5951b4f28e66d24853b3a42841374e1beec510f9,0.8871391076115485,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1709922778,2023-06-12 13:25:59,1255703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
19,795df8f2c2a47a7beef0be639b8c4796877a5c14,0.9343832020997374,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710073791,2023-06-12 17:59:34,1255857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
20,1617cf9288b5d9d85d3cde49ead5c3a8452963e4,0.9265091863517059,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710154885,2023-06-12 21:24:58,1256015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
21,43f24f969b5b2820fa906b6f56770b9bf8e41982,0.9107611548556429,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710550256,2023-06-13 13:44:08,1256472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
22,5cacd05ad73e50693f7c5cfd239e806f0e58ec8f,0.9081364829396326,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710688046,2023-06-13 17:45:06,1256646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
23,c5a9aa9f93cf2309ec4a0cdabdf71b31c3bd3ab6,0.9291338582677167,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710707876,2023-06-13 18:00:33,1256653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
24,66b9443a2c92f97fbf62417687051ad4e85b1800,0.9422572178477688,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1710766545,2023-06-13 19:54:13,1256729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
25,f6e68416dea42dbf642d2efe416f7727ac761f11,0.9081364829396326,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711091884,2023-06-14 12:30:00,1257097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
26,62d1fc48dcd7fd3d026f5cad77c3092d3b93a961,0.8897637795275588,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711249952,2023-06-14 16:03:12,1257228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
27,d01da3405b1219c2d0cc7b559ee0627ad5d8aa5a,0.94750656167979,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711254444,2023-06-14 16:07:57,1257231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
28,c7ff17c6e0144679b7b925a25177776fcec58f8b,0.9685039370078741,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711330764,2023-06-14 18:02:29,1257301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
29,64f4243f24b70557c280aa6ddafcc846f384dba8,0.9580052493438318,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711377216,2023-06-14 18:51:27,1257357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
30,a81117b03f450c9706e21d0d94dec160cc74d836,1.0,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711389685,2023-06-14 19:16:52,1257378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
31,694f250817cbf4e56d9f88ab3982978b5b1ddfeb,0.9081364829396326,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711875632,2023-06-15 12:50:03,1257977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
32,eb3baa1099b7d11565cc634be3a14b4946fa26c7,0.9265091863517059,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1711896048,2023-06-15 13:23:28,1257996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
33,342783aaf1e5ad6a8b40b22a1618c81a719c436b,0.826771653543307,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712039122,2023-06-15 16:46:36,1258166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
34,9eef95942305594426974a54ca94dd63489c7df0,0.9291338582677167,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712093615,2023-06-15 17:58:02,1258224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
35,e25852ed404ec6289f7c9f1023510a8444d4483a,0.7874015748031495,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712583948,2023-06-16 12:17:47,1258818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
36,9c261dccd96ad7615ed5dfa6bb2130b2d3199fee,0.8661417322834644,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712699374,2023-06-16 14:00:16,1258885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
37,2d70dba8bc4fac04fc507a6843648c65e655a9fc,0.795275590551181,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712787357,2023-06-16 16:25:38,1259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
38,0d1afa980fd5e9592d083e71a8f7b15c55d8da7a,0.8136482939632543,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712845920,2023-06-16 17:26:28,1259042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
39,674af946dedcc6cb70fb6618f3260776f1b576a3,0.826771653543307,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712861369,2023-06-16 18:00:51,1259071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
40,52a96b277058ecfdb1675b8b331a6600d9ed0a72,0.026246719160105014,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1712877700,2023-06-16 18:38:48,1259110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
41,a0f771ea7ef5471029c3c2df766b55bb375dec59,0.8188976377952755,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1713183433,2023-06-17 14:26:16,1259379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
42,9bea68f5a93823e72353cd0a13950265001dea22,0.863517060367454,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1713229241,2023-06-17 17:58:30,1259394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
43,b27c9dccd8728a3110d43ec3316d685a30479f7e,0.7637795275590551,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1713497685,2023-06-18 18:02:18,1259476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
44,adf8be9db85188012cda047766ed806a2017ec5d,0.7900262467191599,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1713995292,2023-06-19 13:34:03,1259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
45,f5a4c8a56c4084fb474ef9a83dc8099331777010,0.7690288713910762,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1714088002,2023-06-19 18:00:07,1259894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
46,1fd1675876cf4ace179d70ab72cf9cc67ef382fd,0.8162729658792651,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1714729644,2023-06-20 13:15:48,1260317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
47,0e3e70a7494b91f847545f541f60c2afdffdc973,0.8530183727034122,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1714779896,2023-06-20 14:20:56,1260368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
48,d80d61687ffcaa2e80424701a477210e3c29e1e4,0.8005249343832022,mozilla-beta,4788091,1,4fea1e8c8a8be19431f703061584fa3d3698cc20,linux1804-64-shippable-qr,True,False,,,102210fe594ee9b33d82058545b1ed14f4c8206e,startup_about_home_paint,startup_about_home_paint,True,startup_about_home_paint opt e10s fission stylo webrender,,6,,firefox,,1714897191,2023-06-20 16:59:19,1260535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
